,AreaCode,Keyword,State,City,Impression Share (IS),Clicks,# Call Conversions,# Invoiced,# of Payments,$ Ad Cost,$ Invoiced,$ Received,Latitude,Longitude,CPC,$ Revenue / $ Ad Cost,$ Paid / $ Invoiced
97,469,structural design,Texas,Frisco,84.87428571428572,18.0,0.0,4.0,1.0,183.60000000000002,1450.0,450.0,32.945998571428575,-96.74356071428572,10.200000000000001,2.4509803921568625,0.3103448275862069
98,469,structural design consultants,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,5.64,0.0,0.0,32.811813,-96.812898,5.64,0.0,0.0
99,469,structural design engineer,Texas,Addison,87.14500000000001,2.0,0.0,0.0,0.0,17.83,0.0,0.0,32.660438,-96.8770225,8.915,0.0,0.0
100,469,structural engineer,Texas,Carrollton,87.22662921348312,622.0,54.7,62.0,10.0,6292.339999999999,31760.0,5200.0,32.87164311235955,-96.78462240449437,10.116302250803857,0.8264016248327333,0.163727959697733
101,469,structural engineer costs,Texas,Terrell,100.0,1.0,0.0,0.0,0.0,3.48,0.0,0.0,32.758408,-96.301323,3.48,0.0,0.0
102,469,structural engineer fees,Texas,Ennis,100.0,1.0,0.0,1.0,1.0,7.1,550.0,550.0,32.325881,-96.588238,7.1,77.46478873239437,1.0
103,469,structural engineer home inspection,Texas,Anna,100.0,1.0,0.0,0.0,0.0,12.7,0.0,0.0,33.3555,-96.516313,12.7,0.0,0.0
104,469,structural engineer inspection,Texas,Addison,97.51863636363636,29.0,3.0,25.0,1.0,319.87,14560.0,450.0,32.961284545454546,-96.70294949999999,11.03,1.4068215212430049,0.030906593406593408
105,469,structural engineer inspection cost,Texas,Plano,97.428,5.0,1.0,14.0,0.0,53.76,8960.0,0.0,33.0340454,-96.81232659999999,10.751999999999999,0.0,0.0
106,469,structural engineer inspection near me,Texas,Mckinney,100.0,1.0,0.0,12.0,0.0,12.12,8510.0,0.0,33.245816999999995,-96.63072,12.12,0.0,0.0
107,469,structural engineer near me,Texas,Flower-Mound,99.56769230769231,20.0,2.66,7.0,2.0,232.23000000000002,3500.0,900.0,32.89937253846154,-96.76736915384615,11.611500000000001,3.875468285751195,0.2571428571428571
108,469,structural engineering companies,Texas,Balch-Springs,100.0,5.0,0.0,2.0,0.0,54.78999999999999,1200.0,0.0,32.789744999999996,-96.76781675000001,10.957999999999998,0.0,0.0
109,469,structural engineering firms,Texas,Dallas,87.46,2.0,0.0,0.0,0.0,25.3,0.0,0.0,32.902679,-96.79339300000001,12.65,0.0,0.0
110,469,structural engineering services,Texas,Allen,100.0,4.0,0.0,0.0,0.0,38.82,0.0,0.0,33.092407,-96.63054333333332,9.705,0.0,0.0
111,469,structural home inspection,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,12.53,0.0,0.0,32.792496,-96.772763,12.53,0.0,0.0
112,469,structural inspection,Texas,Carrollton,96.04733333333334,19.0,1.0,15.0,3.0,214.22000000000003,6750.0,2000.0,32.89130386666667,-96.81275580000002,11.274736842105265,9.336196433572962,0.2962962962962963
113,469,structural inspection cost,Texas,Lancaster,100.0,1.0,0.0,0.0,0.0,10.06,0.0,0.0,32.617663,-96.778058,10.06,0.0,0.0
114,469,what is checked in a home inspection,Texas,Rowlett,100.0,1.0,0.0,0.0,0.0,6.58,0.0,0.0,32.897841,-96.55037,6.58,0.0,0.0
115,469,wind inspection,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,8.41,0.0,0.0,32.802127,-96.788853,8.41,0.0,0.0
116,469,windstorm inspection,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,5.43,0.0,0.0,32.770635,-96.746362,5.43,0.0,0.0
117,512,find a structural engineer,Texas,Pflugerville,100.0,1.0,0.0,9.0,1.0,11.93,4300.0,400.0,30.439629999999998,-97.594687,11.93,33.52891869237217,0.09302325581395349
118,512,forensic structural engineer,Texas,Austin,100.0,1.0,0.0,1.0,0.0,7.51,400.0,0.0,30.310782,-97.722759,7.51,0.0,0.0
119,512,foundation cracks,Texas,Lampasas,88.58444444444444,16.0,1.0,12.0,3.0,194.42999999999998,5550.0,1200.0,30.49108855555555,-97.78533722222222,12.151874999999999,6.171887054466904,0.21621621621621623
120,512,foundation engineer inspection,Texas,Buda,100.0,1.0,0.0,1.0,0.0,12.51,0.0,0.0,30.078514000000002,-97.838012,12.51,0.0,0.0
121,512,foundation engineering,Texas,Cedar-Park,90.4890909090909,15.0,1.83,8.0,4.0,137.79000000000002,2850.0,1700.0,30.31673681818182,-97.77180563636362,9.186000000000002,12.337615211553812,0.5964912280701754
122,512,freelance structural engineer,Texas,Austin,100.0,1.0,0.0,1.0,0.0,12.31,400.0,0.0,30.178420000000003,-97.888662,12.31,0.0,0.0
123,512,home structural engineer,Texas,Rockdale,100.0,3.0,1.0,1.0,0.0,18.68,600.0,0.0,30.591988999999998,-97.365929,6.226666666666667,0.0,0.0
124,512,pe civil structural,Texas,Kyle,100.0,1.0,0.0,3.0,0.0,8.71,1350.0,0.0,29.999103,-97.82820699999999,8.71,0.0,0.0
125,512,professional structural engineer,Texas,Austin,100.0,1.0,0.0,1.0,0.0,12.9,0.0,0.0,30.289963,-97.71469599999999,12.9,0.0,0.0
126,512,qualified structural engineer,Texas,Kyle,100.0,1.0,0.0,3.0,0.0,4.84,1350.0,0.0,29.999103,-97.82820699999999,4.84,0.0,0.0
127,512,resident engineer,Texas,Austin,62.66,1.0,0.0,0.0,0.0,11.76,0.0,0.0,30.351538,-97.732571,11.76,0.0,0.0
128,512,residential engineer near me,Texas,Round-Rock,100.0,2.0,0.0,3.0,2.0,15.8,1350.0,900.0,30.460242,-97.724898,7.9,56.962025316455694,0.6666666666666666
129,512,residential structural engineer,Texas,Austin,98.72,1.0,0.0,0.0,0.0,12.95,0.0,0.0,30.351538,-97.732571,12.95,0.0,0.0
130,512,residential structural engineer near me,Texas,Cedar-Park,100.0,8.0,0.0,10.0,1.0,98.33999999999999,4600.0,400.0,30.50130033333333,-97.65509533333334,12.292499999999999,4.067520846044337,0.08695652173913043
